timeline,日本通運株式会社
2001-01,$5.86B
2001-02,$5.4B
2001-03,$5.0B
2001-04,$5.86B
2001-05,$5.42B
2001-06,$5.32B
2001-07,$4.79B
2001-08,$4.94B
2001-09,$4.25B
2001-10,$4.19B
2001-11,$4.2B
2001-12,$4.21B
2002-01,$4.39B
2002-02,$4.49B
2002-03,$4.84B
2002-04,$5.24B
2002-05,$5.74B
2002-06,$5.95B
2002-07,$5.62B
2002-08,$5.16B
2002-09,$5.14B
2002-10,$4.69B
2002-11,$4.66B
2002-12,$4.36B
2003-01,$4.01B
2003-02,$4.38B
2003-03,$4.46B
2003-04,$4.17B
2003-05,$4.03B
2003-06,$4.37B
2003-07,$4.29B
2003-08,$4.48B
2003-09,$4.38B
2003-10,$4.65B
2003-11,$4.45B
2003-12,$4.74B
2004-01,$5.07B
2004-02,$5.61B
2004-03,$6.05B
2004-04,$6.04B
2004-05,$5.76B
2004-06,$6.0B
2004-07,$5.52B
2004-08,$5.28B
2004-09,$5.0B
2004-10,$4.79B
2004-11,$4.55B
2004-12,$4.73B
2005-01,$4.75B
2005-02,$5.0B
2005-03,$5.28B
2005-04,$4.77B
2005-05,$4.65B
2005-06,$4.52B
2005-07,$4.51B
2005-08,$4.62B
2005-09,$5.25B
2005-10,$5.93B
2005-11,$6.02B
2005-12,$6.74B
2006-01,$6.7B
2006-02,$5.82B
2006-03,$6.26B
2006-04,$5.63B
2006-05,$5.27B
2006-06,$5.79B
2006-07,$5.46B
2006-08,$5.97B
2006-09,$5.93B
2006-11,$5.86B
2006-12,$6.1B
2007-01,$6.42B
2007-02,$7.08B
2007-03,$6.92B
2007-04,$6.98B
2007-05,$6.81B
2007-06,$6.57B
2007-07,$6.06B
2007-08,$5.72B
2007-09,$5.35B
2007-10,$5.4B
2007-11,$5.28B
2007-12,$5.39B
2008-01,$5.32B
2008-02,$5.27B
2008-03,$5.37B
2008-04,$5.38B
2008-05,$4.97B
2008-06,$4.77B
2008-07,$4.62B
2008-08,$4.81B
2008-09,$4.35B
2008-10,$3.65B
2008-11,$4.0B
2008-12,$3.5B
2009-01,$3.06B
2009-02,$2.66B
2009-03,$2.83B
2009-04,$3.23B
2009-05,$3.71B
2009-06,$4.04B
2009-07,$4.0B
2009-08,$3.83B
2009-09,$3.36B
2009-10,$3.46B
2009-11,$3.53B
2009-12,$3.5B
2010-02,$3.37B
2010-03,$3.7B
2010-04,$4.07B
2010-05,$3.7B
2010-06,$3.71B
2010-07,$3.24B
2010-08,$2.7B
2010-09,$2.92B
2010-10,$2.94B
2010-11,$3.07B
2010-12,$3.37B
2011-01,$3.18B
2011-02,$3.24B
2011-03,$2.93B
2011-04,$2.95B
2011-05,$2.89B
2011-06,$2.99B
2011-07,$3.13B
2011-08,$2.93B
2011-09,$3.05B
2011-10,$2.82B
2011-11,$2.66B
2011-12,$2.76B
2012-01,$2.81B
2012-02,$2.93B
2012-03,$2.97B
2012-04,$2.79B
2012-05,$2.82B
2012-06,$3.02B
2012-07,$2.95B
2012-08,$2.82B
2012-09,$2.72B
2012-10,$2.69B
2012-11,$2.72B
2012-12,$3.27B
2013-01,$3.48B
2013-02,$3.74B
2013-03,$4.22B
2013-04,$4.69B
2013-05,$4.23B
2013-06,$4.36B
2013-07,$4.29B
2013-08,$4.26B
2013-09,$4.56B
2013-11,$4.89B
2013-12,$4.71B
2014-01,$4.5B
2014-02,$4.39B
2014-03,$4.57B
2014-04,$4.37B
2014-05,$4.52B
2014-06,$4.44B
2014-07,$4.54B
2014-08,$4.31B
2014-09,$4.15B
2014-10,$4.38B
2014-11,$5.16B
2014-12,$5.56B
2015-01,$6.25B
2015-02,$6.05B
2015-03,$5.94B
2015-04,$6.1B
2015-05,$6.07B
2015-06,$5.32B
2015-07,$5.8B
2015-08,$5.19B
2015-09,$5.03B
2015-10,$5.54B
2015-11,$4.91B
2015-12,$5.05B
2016-01,$4.93B
2016-02,$4.42B
2016-03,$4.52B
2016-04,$4.49B
2016-05,$4.22B
2016-06,$4.11B
2016-07,$4.62B
2016-08,$4.33B
2016-09,$4.15B
2016-10,$4.58B
2016-11,$5.22B
2016-12,$5.55B
2017-01,$5.29B
2017-02,$5.12B
2017-03,$4.85B
2017-04,$5.19B
2017-05,$5.79B
2017-06,$5.96B
2017-07,$5.98B
2017-08,$6.43B
2017-09,$6.21B
2017-10,$6.08B
2017-11,$6.04B
2017-12,$6.35B
2018-01,$6.64B
2018-02,$6.1B
2018-03,$6.03B
2018-04,$7.01B
2018-05,$6.94B
2018-06,$6.81B
2018-07,$6.19B
2018-08,$5.9B
2018-09,$6.32B
2018-10,$6.06B
2018-11,$5.8B
2018-12,$5.19B
2019-01,$5.83B
2019-02,$5.48B
2019-03,$5.14B
2019-04,$5.09B
2019-05,$4.83B
2019-06,$4.78B
2019-07,$5.14B
2019-08,$4.58B
2019-09,$4.6B
2019-10,$5.18B
2019-11,$5.79B
2019-12,$5.32B
2020-01,$4.76B
2020-02,$4.26B
2020-03,$4.34B
2020-05,$4.4B
2020-06,$4.58B
2020-07,$4.36B
2020-08,$5.02B
2020-09,$5.04B
2020-10,$4.8B
2020-11,$5.91B
2020-12,$5.69B
2021-01,$5.84B
2021-02,$6.38B
2021-03,$6.78B
2021-04,$6.72B
2021-05,$7.1B
2021-06,$6.93B
2021-07,$6.45B
2021-08,$6.47B
2021-09,$6.7B
2021-10,$5.94B
2021-11,$5.62B
2021-12,$5.33B
