timeline,株式会社商船三井
2001-01,$2.43B
2001-02,$2.66B
2001-03,$2.55B
2001-04,$3.55B
2001-05,$3.43B
2001-06,$3.89B
2001-07,$3.35B
2001-08,$2.84B
2001-09,$2.55B
2001-10,$3.14B
2001-11,$2.85B
2001-12,$2.81B
2002-01,$2.93B
2002-02,$2.74B
2002-03,$3.07B
2002-04,$2.79B
2002-05,$3.04B
2002-06,$2.68B
2002-07,$2.6B
2002-08,$2.5B
2002-09,$2.46B
2002-10,$2.25B
2002-11,$2.41B
2002-12,$2.62B
2003-01,$2.58B
2003-02,$3.08B
2003-03,$3.02B
2003-04,$3.32B
2003-05,$3.39B
2003-06,$3.88B
2003-07,$3.71B
2003-08,$4.31B
2003-09,$4.01B
2003-10,$4.75B
2003-11,$4.73B
2003-12,$5.56B
2004-01,$5.36B
2004-02,$5.57B
2004-03,$5.7B
2004-04,$5.14B
2004-05,$5.6B
2004-06,$6.1B
2004-07,$6.16B
2004-08,$6.91B
2004-09,$7.03B
2004-10,$6.68B
2004-11,$6.79B
2004-12,$6.54B
2005-01,$6.88B
2005-02,$7.63B
2005-03,$7.33B
2005-04,$7.04B
2005-05,$6.96B
2005-06,$7.28B
2005-07,$7.67B
2005-08,$8.59B
2005-09,$9.64B
2005-10,$8.68B
2005-11,$9.4B
2005-12,$10.94B
2006-01,$11.3B
2006-02,$9.11B
2006-03,$8.46B
2006-04,$8.67B
2006-05,$8.37B
2006-06,$8.27B
2006-07,$8.04B
2006-08,$9.52B
2006-09,$9.28B
2006-10,$10.37B
2006-11,$11.28B
2006-12,$12.48B
2007-01,$13.35B
2007-02,$14.23B
2007-03,$13.91B
2007-04,$16.15B
2007-05,$17.73B
2007-06,$17.8B
2007-07,$19.92B
2007-08,$18.14B
2007-09,$19.79B
2007-10,$20.03B
2007-11,$17.55B
2007-12,$15.16B
2008-01,$13.76B
2008-02,$14.79B
2008-03,$12.82B
2008-04,$15.22B
2008-05,$16.93B
2008-06,$16.1B
2008-07,$15.0B
2008-08,$13.92B
2008-09,$9.41B
2008-10,$5.27B
2008-11,$5.39B
2008-12,$5.77B
2009-01,$5.61B
2009-02,$5.38B
2009-03,$5.08B
2009-04,$5.92B
2009-05,$7.14B
2009-06,$6.62B
2009-07,$6.09B
2009-08,$6.28B
2009-09,$5.62B
2009-10,$5.68B
2009-11,$5.1B
2009-12,$5.16B
2010-01,$5.97B
2010-02,$6.05B
2010-03,$7.08B
2010-04,$7.47B
2010-05,$6.83B
2010-06,$6.26B
2010-07,$6.17B
2010-08,$5.57B
2010-09,$5.54B
2010-10,$5.44B
2010-11,$6.06B
2010-12,$5.84B
2011-01,$5.64B
2011-02,$5.7B
2011-03,$5.05B
2011-04,$4.74B
2011-05,$4.58B
2011-06,$4.54B
2011-07,$4.27B
2011-08,$3.39B
2011-09,$3.16B
2011-10,$3.25B
2011-11,$2.52B
2011-12,$3.14B
2012-01,$3.04B
2012-02,$3.9B
2012-03,$3.83B
2012-04,$3.32B
2012-05,$2.95B
2012-06,$3.02B
2012-07,$2.52B
2012-08,$2.07B
2012-09,$1.92B
2012-10,$2.01B
2012-11,$2.18B
2012-12,$2.68B
2013-01,$3.17B
2013-02,$3.43B
2013-03,$3.26B
2013-04,$4.27B
2013-05,$3.89B
2013-06,$4.08B
2013-07,$3.99B
2013-08,$4.1B
2013-09,$4.67B
2013-10,$4.37B
2013-11,$4.8B
2013-12,$5.0B
2014-01,$4.49B
2014-02,$4.45B
2014-03,$4.24B
2014-04,$3.6B
2014-05,$3.85B
2014-06,$3.98B
2014-07,$4.05B
2014-08,$4.02B
2014-09,$3.69B
2014-10,$3.65B
2014-11,$3.97B
2014-12,$3.79B
2015-01,$4.22B
2015-02,$4.5B
2015-03,$4.3B
2015-04,$4.46B
2015-05,$4.5B
2015-06,$4.14B
2015-07,$3.92B
2015-08,$3.61B
2015-09,$3.02B
2015-10,$3.43B
2015-11,$3.39B
2015-12,$3.24B
2016-01,$2.49B
2016-02,$2.23B
2016-03,$2.42B
2016-04,$2.5B
2016-05,$2.66B
2016-06,$2.28B
2016-07,$2.33B
2016-08,$2.52B
2016-09,$2.46B
2016-10,$2.77B
2016-11,$3.1B
2016-12,$3.42B
2017-01,$3.8B
2017-02,$3.91B
2017-03,$3.69B
2017-04,$3.6B
2017-05,$3.35B
2017-06,$3.48B
2017-07,$3.63B
2017-08,$3.72B
2017-09,$3.6B
2017-10,$3.64B
2017-11,$3.8B
2017-12,$3.97B
2018-01,$4.12B
2018-02,$3.56B
2018-03,$3.23B
2018-04,$3.42B
2018-05,$3.04B
2018-06,$2.81B
2018-07,$3.05B
2018-08,$3.15B
2018-09,$3.5B
2018-10,$2.91B
2018-11,$2.82B
2018-12,$2.53B
2019-01,$2.86B
2019-02,$2.75B
2019-03,$2.51B
2019-04,$2.97B
2019-05,$2.44B
2019-06,$2.72B
2019-07,$2.83B
2019-08,$2.64B
2019-09,$2.88B
2019-10,$3.14B
2019-11,$3.03B
2019-12,$3.19B
2020-01,$2.84B
2020-02,$2.36B
2020-03,$1.84B
2020-04,$1.94B
2020-05,$2.01B
2020-07,$1.95B
2020-08,$2.03B
2020-09,$2.34B
2020-10,$2.42B
2020-11,$2.82B
2020-12,$3.22B
2021-01,$3.21B
2021-02,$3.19B
2021-03,$3.86B
2021-04,$4.34B
2021-05,$4.54B
2021-06,$5.25B
2021-07,$5.21B
2021-08,$7.74B
2021-09,$10.29B
2021-10,$7.42B
2021-11,$6.89B
2021-12,$8.16B
