timeline,川崎汽船株式会社
2001-01,$0.92B
2001-02,$1.01B
2001-03,$0.97B
2001-04,$1.22B
2001-05,$1.12B
2001-06,$1.24B
2001-07,$1.14B
2001-08,$1.03B
2001-09,$0.89B
2001-12,$0.92B
2002-01,$0.93B
2002-02,$0.81B
2002-04,$0.83B
2002-05,$0.91B
2002-06,$0.87B
2002-07,$0.83B
2002-08,$0.8B
2002-09,$0.89B
2002-10,$0.9B
2002-11,$1.04B
2002-12,$1.07B
2003-01,$1.13B
2003-02,$1.37B
2003-04,$1.43B
2003-05,$1.42B
2003-06,$1.52B
2003-07,$1.47B
2003-08,$2.08B
2003-09,$2.0B
2003-10,$2.31B
2003-11,$2.23B
2003-12,$2.79B
2004-01,$2.63B
2004-02,$2.75B
2004-03,$2.83B
2004-04,$2.48B
2004-05,$2.66B
2004-06,$2.89B
2004-07,$2.92B
2004-08,$3.67B
2004-09,$3.95B
2004-10,$3.7B
2004-11,$3.61B
2004-12,$3.45B
2005-01,$3.68B
2005-02,$4.11B
2005-03,$3.88B
2005-04,$3.58B
2005-05,$3.38B
2005-06,$3.45B
2005-07,$3.61B
2005-08,$3.79B
2005-09,$4.29B
2005-10,$3.78B
2005-11,$3.72B
2005-12,$3.88B
2006-01,$3.95B
2006-02,$3.82B
2006-03,$3.64B
2006-04,$3.75B
2006-05,$3.66B
2006-06,$3.47B
2006-07,$3.48B
2006-08,$4.0B
2006-09,$3.91B
2006-10,$4.36B
2006-11,$4.34B
2006-12,$4.88B
2007-01,$5.47B
2007-02,$6.17B
2007-03,$6.12B
2007-04,$7.16B
2007-05,$8.08B
2007-06,$8.25B
2007-07,$9.02B
2007-08,$8.19B
2007-09,$9.24B
2007-10,$8.66B
2007-11,$7.2B
2007-12,$6.01B
2008-01,$5.63B
2008-02,$5.94B
2008-03,$5.46B
2008-04,$5.95B
2008-05,$6.56B
2008-06,$5.62B
2008-07,$4.87B
2008-08,$4.41B
2008-09,$3.56B
2008-10,$2.13B
2008-11,$2.16B
2008-12,$2.32B
2009-01,$1.88B
2009-02,$1.76B
2009-03,$1.71B
2009-04,$2.07B
2009-05,$2.42B
2009-06,$2.24B
2009-07,$2.01B
2009-08,$2.3B
2009-09,$1.87B
2009-10,$1.9B
2009-11,$1.41B
2009-12,$1.48B
2010-01,$1.8B
2010-02,$1.81B
2010-03,$2.1B
2010-04,$2.26B
2010-05,$2.08B
2010-06,$2.06B
2010-07,$2.07B
2010-08,$1.76B
2010-11,$1.96B
2010-12,$2.01B
2011-01,$1.92B
2011-02,$2.0B
2011-03,$1.73B
2011-04,$1.52B
2011-05,$1.53B
2011-06,$1.57B
2011-07,$1.42B
2011-08,$1.1B
2011-09,$0.92B
2011-11,$0.88B
2011-12,$0.94B
2012-01,$0.97B
2012-02,$1.15B
2012-03,$1.23B
2012-04,$1.15B
2012-05,$0.98B
2012-06,$1.05B
2012-07,$0.81B
2012-08,$0.87B
2012-09,$0.81B
2012-10,$0.84B
2012-11,$0.9B
2012-12,$1.08B
2013-01,$1.43B
2013-02,$1.72B
2013-03,$1.65B
2013-04,$1.77B
2013-05,$1.7B
2013-06,$1.67B
2013-07,$1.66B
2013-08,$1.84B
2013-09,$1.9B
2013-10,$1.85B
2013-11,$2.01B
2013-12,$2.2B
2014-01,$2.01B
2014-02,$1.9B
2014-03,$1.84B
2014-04,$1.7B
2014-05,$1.76B
2014-06,$1.75B
2014-07,$1.84B
2014-08,$2.07B
2014-09,$1.93B
2014-10,$2.07B
2014-11,$2.57B
2014-12,$2.69B
2015-01,$2.81B
2015-02,$3.01B
2015-03,$2.67B
2015-04,$2.56B
2015-05,$2.6B
2015-06,$2.39B
2015-07,$2.29B
2015-08,$2.23B
2015-09,$2.17B
2015-10,$2.26B
2015-11,$2.09B
2015-12,$2.15B
2016-01,$1.77B
2016-02,$1.56B
2016-03,$1.8B
2016-04,$1.95B
2016-05,$1.99B
2016-06,$1.98B
2016-07,$2.1B
2016-08,$2.16B
2016-09,$2.14B
2016-10,$2.15B
2016-11,$2.07B
2016-12,$2.19B
2017-01,$2.27B
2017-02,$2.5B
2017-03,$2.45B
2017-04,$2.42B
2017-05,$2.37B
2017-06,$2.23B
2017-07,$2.27B
2017-08,$2.46B
2017-09,$2.45B
2017-10,$2.44B
2017-11,$2.39B
2017-12,$2.37B
2018-01,$2.39B
2018-02,$2.14B
2018-03,$2.06B
2018-04,$2.08B
2018-05,$1.84B
2018-06,$1.68B
2018-07,$1.67B
2018-08,$1.69B
2018-09,$1.89B
2018-10,$1.24B
2018-11,$1.34B
2018-12,$1.11B
2019-01,$1.17B
2019-02,$1.29B
2019-03,$0.98B
2019-04,$1.32B
2019-05,$1.01B
2019-06,$1.08B
2019-07,$1.15B
2019-08,$0.88B
2019-09,$1.03B
2019-10,$1.34B
2019-11,$1.49B
2019-12,$1.54B
2020-01,$1.23B
2020-02,$1.01B
2020-03,$0.81B
2020-04,$0.89B
2020-05,$0.91B
2020-06,$0.83B
2020-07,$0.82B
2020-08,$0.97B
2020-09,$0.96B
2020-10,$1.04B
2020-11,$1.4B
2020-12,$1.67B
2021-01,$1.69B
2021-02,$1.6B
2021-03,$2.03B
2021-04,$2.33B
2021-05,$2.5B
2021-06,$2.89B
2021-07,$2.89B
2021-08,$4.0B
2021-09,$6.27B
2021-10,$4.46B
2021-11,$4.05B
2021-12,$5.32B
