timeline,ＳＧホールディングス株式会社
2017-12,$6.27B
2018-01,$7.08B
2018-02,$6.43B
2018-03,$6.51B
2018-04,$6.85B
2018-05,$6.91B
2018-06,$6.8B
2018-07,$6.85B
2018-08,$7.36B
2018-09,$8.34B
2018-10,$7.96B
2018-11,$7.78B
2018-12,$8.02B
2019-01,$8.17B
2019-02,$9.13B
2019-03,$9.03B
2019-04,$8.33B
2019-05,$8.24B
2019-06,$8.55B
2019-07,$8.08B
2019-08,$7.96B
2019-09,$7.41B
2019-10,$7.53B
2019-11,$7.35B
2019-12,$6.89B
2020-01,$6.51B
2020-02,$5.96B
2020-03,$7.2B
2020-04,$8.43B
2020-05,$9.84B
2020-06,$9.86B
2020-07,$10.51B
2020-08,$13.58B
2020-09,$14.71B
2020-10,$15.21B
2020-11,$15.69B
2020-12,$15.98B
2021-01,$15.8B
2021-02,$14.46B
2021-03,$14.09B
2021-04,$14.08B
2021-05,$13.64B
2021-06,$15.22B
2021-07,$16.8B
2021-08,$17.52B
2021-09,$18.64B
2021-10,$16.57B
2021-11,$14.79B
2021-12,$14.44B
