timeline,日本航空株式会社
2012-09,$5.84B
2012-10,$6.08B
2012-11,$6.06B
2012-12,$5.92B
2013-01,$6.05B
2013-02,$7.04B
2013-03,$6.99B
2013-04,$7.9B
2013-05,$8.35B
2013-06,$8.16B
2013-07,$8.32B
2013-08,$8.33B
2013-09,$9.5B
2013-10,$9.16B
2013-11,$8.33B
2013-12,$8.3B
2014-01,$8.25B
2014-02,$8.09B
2014-03,$8.12B
2014-04,$8.46B
2014-05,$8.49B
2014-06,$8.96B
2014-07,$9.16B
2014-08,$9.36B
2014-09,$9.6B
2014-10,$9.56B
2014-11,$11.16B
2014-12,$11.52B
2015-01,$12.83B
2015-02,$11.77B
2015-03,$11.96B
2015-04,$12.79B
2015-05,$13.67B
2015-06,$13.65B
2015-07,$14.96B
2015-08,$13.8B
2015-09,$13.48B
2015-10,$14.64B
2015-11,$13.46B
2015-12,$13.93B
2016-01,$14.31B
2016-02,$12.92B
2016-03,$13.18B
2016-04,$12.64B
2016-05,$12.15B
2016-06,$10.53B
2016-07,$10.22B
2016-08,$10.06B
2016-09,$9.46B
2016-10,$9.9B
2016-11,$10.82B
2016-12,$10.92B
2017-01,$11.52B
2017-02,$11.73B
2017-03,$10.99B
2017-04,$10.98B
2017-05,$10.12B
2017-06,$10.83B
2017-07,$11.13B
2017-08,$11.78B
2017-09,$11.87B
2017-10,$12.07B
2017-11,$12.83B
2017-12,$13.74B
2018-01,$12.83B
2018-02,$12.75B
2018-03,$13.35B
2018-04,$13.26B
2018-05,$12.98B
2018-06,$12.0B
2018-07,$12.52B
2018-08,$12.16B
2018-09,$12.4B
2018-10,$12.2B
2018-11,$12.43B
2018-12,$11.81B
2019-01,$12.03B
2019-02,$12.34B
2019-03,$11.84B
2019-04,$11.48B
2019-05,$10.46B
2019-06,$10.56B
2019-07,$10.44B
2019-08,$10.15B
2019-09,$9.72B
2019-10,$10.21B
2019-11,$10.29B
2019-12,$10.19B
2020-01,$9.23B
2020-02,$7.99B
2020-03,$5.91B
2020-04,$5.77B
2020-05,$6.29B
2020-06,$6.13B
2020-07,$5.54B
2020-08,$6.02B
2020-09,$6.23B
2020-10,$5.79B
2020-11,$5.74B
2020-12,$6.19B
2021-01,$5.64B
2021-02,$9.01B
2021-03,$9.51B
2021-04,$8.88B
2021-05,$9.11B
2021-06,$9.89B
2021-07,$9.11B
2021-08,$8.94B
2021-09,$9.68B
2021-10,$9.72B
2021-11,$9.16B
2021-12,$8.36B
