timeline,日本電信電話株式会社
2009-12,$51.9B
2010-12,$59.66B
2011-01,$61.4B
2011-02,$64.67B
2011-03,$59.4B
2011-04,$60.75B
2011-05,$62.47B
2011-06,$63.36B
2011-07,$64.66B
2011-08,$61.08B
2011-09,$61.51B
2011-10,$67.33B
2011-11,$61.25B
2011-12,$64.09B
2012-01,$63.12B
2012-02,$60.28B
2012-03,$57.74B
2012-04,$55.19B
2012-05,$52.32B
2012-06,$57.05B
2012-07,$56.92B
2012-08,$56.32B
2012-09,$58.64B
2012-10,$55.74B
2012-11,$54.79B
2012-12,$50.54B
2013-01,$50.34B
2013-02,$55.1B
2013-03,$52.19B
2013-04,$58.45B
2013-05,$59.2B
2013-06,$61.86B
2013-07,$58.65B
2013-08,$59.19B
2013-09,$59.28B
2013-10,$58.98B
2013-11,$57.34B
2013-12,$61.31B
2014-01,$61.49B
2014-02,$63.44B
2014-03,$60.61B
2014-04,$61.26B
2014-05,$65.92B
2014-06,$70.81B
2014-07,$75.79B
2014-08,$76.49B
2014-09,$69.18B
2014-10,$70.02B
2014-11,$59.8B
2014-12,$55.65B
2015-01,$63.53B
2015-02,$66.52B
2015-03,$65.23B
2015-04,$71.92B
2015-05,$74.1B
2015-06,$76.5B
2015-07,$81.27B
2015-08,$80.86B
2015-09,$73.11B
2015-10,$77.78B
2015-11,$77.97B
2015-12,$84.14B
2016-01,$88.64B
2016-02,$88.55B
2016-03,$90.41B
2016-04,$94.32B
2016-05,$91.82B
2016-06,$95.12B
2016-07,$94.86B
2016-08,$90.01B
2016-09,$92.86B
2016-10,$90.76B
2016-11,$83.74B
2016-12,$86.03B
2017-01,$89.12B
2017-02,$85.73B
2017-03,$85.66B
2017-04,$86.39B
2017-05,$96.5B
2017-06,$95.1B
2017-07,$97.87B
2017-08,$99.29B
2017-09,$91.98B
2017-10,$97.17B
2017-11,$104.16B
2017-12,$93.19B
2018-01,$94.49B
2018-02,$91.76B
2018-03,$91.07B
2018-04,$93.59B
2018-05,$91.58B
2018-06,$88.87B
2018-07,$90.8B
2018-08,$86.97B
2018-09,$88.27B
2018-10,$81.94B
2018-11,$79.67B
2018-12,$78.02B
2019-01,$82.16B
2019-02,$83.02B
2019-03,$81.48B
2019-04,$79.23B
2019-05,$84.29B
2019-06,$88.2B
2019-07,$84.61B
2019-08,$89.34B
2019-09,$86.81B
2019-10,$89.8B
2019-11,$91.73B
2019-12,$92.03B
2020-01,$93.0B
2020-02,$83.83B
2020-03,$86.25B
2020-04,$83.29B
2020-05,$82.52B
2020-07,$84.86B
2020-08,$88.99B
2020-09,$80.65B
2020-10,$79.04B
2020-11,$86.94B
2020-12,$92.57B
2021-01,$96.21B
2021-02,$96.48B
2021-03,$96.0B
2021-04,$93.55B
2021-05,$95.9B
2021-06,$95.15B
2021-07,$94.61B
2021-08,$95.5B
2021-09,$106.56B
2021-10,$100.19B
2021-11,$102.94B
2021-12,$97.0B
