timeline,関西電力株式会社
2001-01,$15.92B
2001-02,$16.82B
2001-03,$15.75B
2001-04,$16.82B
2001-05,$17.86B
2001-06,$18.25B
2001-07,$17.9B
2001-08,$17.6B
2001-09,$17.24B
2001-10,$17.47B
2001-11,$16.6B
2001-12,$16.19B
2002-01,$15.62B
2002-02,$16.49B
2002-03,$15.96B
2002-04,$15.1B
2002-05,$15.36B
2002-06,$16.35B
2002-07,$15.85B
2002-08,$15.96B
2002-09,$14.75B
2002-10,$14.96B
2002-11,$14.63B
2002-12,$15.47B
2003-01,$15.05B
2003-02,$15.47B
2003-03,$15.46B
2003-04,$17.21B
2003-05,$16.82B
2003-06,$16.34B
2003-07,$16.19B
2003-08,$15.88B
2003-09,$16.46B
2003-10,$16.39B
2003-11,$15.82B
2003-12,$15.94B
2004-01,$16.62B
2004-02,$16.81B
2004-03,$16.71B
2004-04,$16.39B
2004-05,$16.51B
2004-06,$16.88B
2004-07,$17.23B
2004-08,$17.06B
2004-09,$16.49B
2004-10,$16.87B
2004-11,$16.97B
2004-12,$17.65B
2005-01,$17.06B
2005-02,$17.7B
2005-03,$18.25B
2005-04,$17.91B
2005-06,$18.93B
2005-07,$20.12B
2005-08,$19.99B
2005-09,$21.26B
2005-10,$21.69B
2005-11,$21.64B
2005-12,$21.52B
2006-01,$22.36B
2006-02,$22.96B
2006-03,$22.19B
2006-04,$22.62B
2006-05,$22.7B
2006-06,$21.73B
2006-07,$22.41B
2006-08,$23.89B
2006-09,$23.13B
2006-10,$23.43B
2006-11,$24.53B
2006-12,$27.24B
2007-01,$28.69B
2007-02,$29.88B
2007-03,$28.77B
2007-04,$28.52B
2007-05,$25.97B
2007-06,$24.74B
2007-07,$22.45B
2007-08,$22.96B
2007-09,$22.28B
2007-10,$21.98B
2007-11,$24.19B
2007-12,$22.11B
2008-01,$22.58B
2008-02,$21.73B
2008-03,$21.05B
2008-04,$21.01B
2008-05,$19.73B
2008-06,$21.09B
2008-07,$21.35B
2008-08,$22.75B
2008-09,$19.95B
2008-10,$20.79B
2008-11,$21.94B
2008-12,$22.07B
2009-01,$20.24B
2009-02,$20.07B
2009-03,$17.17B
2009-04,$16.13B
2009-05,$16.61B
2009-06,$17.09B
2009-07,$16.97B
2009-08,$17.17B
2009-09,$17.41B
2009-10,$15.7B
2009-11,$17.25B
2009-12,$16.85B
2010-01,$16.52B
2010-02,$16.88B
2010-03,$17.34B
2010-04,$16.92B
2010-05,$16.88B
2010-06,$17.34B
2010-07,$16.8B
2010-08,$17.28B
2010-09,$16.26B
2010-10,$16.35B
2010-11,$16.15B
2010-12,$16.08B
2011-01,$16.29B
2011-02,$17.22B
2011-03,$14.27B
2011-04,$13.41B
2011-05,$10.9B
2011-06,$12.6B
2011-07,$10.23B
2011-08,$10.64B
2011-09,$10.62B
2011-10,$9.15B
2011-11,$9.01B
2011-12,$9.3B
2012-01,$9.67B
2012-02,$10.6B
2012-03,$10.1B
2012-04,$9.12B
2012-05,$8.93B
2012-06,$7.52B
2012-07,$4.62B
2012-08,$4.6B
2012-09,$4.81B
2012-10,$4.84B
2012-11,$6.18B
2012-12,$7.15B
2013-01,$6.85B
2013-02,$6.3B
2013-03,$7.31B
2013-04,$9.36B
2013-05,$9.48B
2013-06,$10.71B
2013-07,$9.45B
2013-08,$8.69B
2013-09,$9.93B
2013-10,$9.77B
2013-11,$9.16B
2013-12,$9.52B
2014-01,$8.74B
2014-02,$8.93B
2014-03,$8.34B
2014-04,$6.74B
2014-05,$7.4B
2014-06,$7.52B
2014-07,$7.48B
2014-08,$7.5B
2014-09,$8.17B
2014-10,$8.58B
2014-11,$9.38B
2014-12,$9.04B
2015-01,$9.0B
2015-02,$8.46B
2015-03,$9.03B
2015-04,$9.51B
2015-05,$10.87B
2015-06,$10.68B
2015-07,$13.25B
2015-08,$11.92B
2015-09,$10.45B
2015-10,$12.27B
2015-11,$10.87B
2015-12,$11.5B
2016-01,$10.21B
2016-02,$9.77B
2016-03,$7.85B
2016-04,$7.7B
2016-05,$8.46B
2016-06,$7.81B
2016-07,$7.53B
2016-08,$6.98B
2016-09,$7.21B
2016-10,$7.91B
2016-11,$8.88B
2016-12,$10.07B
2017-01,$9.49B
2017-02,$9.81B
2017-03,$10.77B
2017-04,$11.87B
2017-05,$12.21B
2017-06,$12.19B
2017-07,$11.67B
2017-08,$12.13B
2017-09,$11.34B
2017-10,$12.19B
2017-11,$11.69B
2017-12,$10.87B
2018-01,$10.66B
2018-02,$10.28B
2018-03,$10.77B
2018-04,$12.05B
2018-05,$12.33B
2018-06,$12.73B
2018-07,$12.51B
2018-08,$12.54B
2018-09,$13.49B
2018-10,$13.63B
2018-11,$13.42B
2018-12,$13.0B
2019-01,$13.03B
2019-02,$13.12B
2019-03,$12.85B
2019-04,$10.6B
2019-05,$9.97B
2019-06,$9.72B
2019-07,$10.6B
2019-08,$10.18B
2019-09,$9.52B
2019-10,$9.96B
2019-11,$9.83B
2019-12,$9.96B
2020-01,$9.67B
2020-02,$9.63B
2020-03,$9.29B
2020-04,$8.7B
2020-05,$8.45B
2020-06,$8.23B
2020-07,$8.22B
2020-08,$8.14B
2020-09,$8.03B
2020-10,$7.75B
2020-11,$7.67B
2020-12,$7.64B
2021-01,$8.14B
2021-02,$8.59B
2021-03,$9.21B
2021-04,$8.62B
2021-05,$8.32B
2021-06,$8.41B
2021-07,$8.28B
2021-08,$8.89B
2021-09,$9.24B
2021-10,$8.51B
2021-11,$8.16B
2021-12,$8.33B
