timeline,東北電力株式会社
2006-03,$11.2B
2006-04,$11.55B
2006-05,$11.44B
2006-06,$11.05B
2006-07,$10.61B
2006-08,$11.71B
2006-09,$11.38B
2006-10,$11.4B
2006-11,$11.88B
2006-12,$13.09B
2007-01,$13.95B
2007-02,$13.91B
2007-03,$13.16B
2007-04,$12.61B
2007-05,$12.41B
2007-06,$12.17B
2007-07,$11.62B
2007-08,$12.17B
2007-09,$10.8B
2007-10,$10.69B
2007-11,$11.24B
2007-12,$11.09B
2008-01,$11.04B
2008-02,$10.54B
2008-03,$10.71B
2008-04,$10.38B
2008-05,$9.94B
2008-06,$10.16B
2008-07,$10.54B
2008-08,$11.44B
2008-09,$10.01B
2008-10,$9.68B
2008-11,$10.19B
2008-12,$10.71B
2009-01,$10.23B
2009-02,$10.12B
2009-03,$9.52B
2009-04,$9.04B
2009-05,$8.57B
2009-06,$8.86B
2009-07,$8.67B
2009-08,$8.86B
2009-09,$8.8B
2009-10,$8.18B
2009-11,$8.03B
2009-12,$8.09B
2010-01,$8.0B
2010-02,$8.5B
2010-03,$8.67B
2010-04,$8.42B
2010-05,$7.94B
2010-06,$8.38B
2010-07,$8.21B
2010-08,$8.57B
2010-09,$8.12B
2010-10,$7.95B
2010-11,$8.01B
2010-12,$7.96B
2011-01,$8.03B
2011-02,$8.37B
2011-03,$6.18B
2011-04,$5.24B
2011-05,$4.19B
2011-06,$5.11B
2011-07,$4.38B
2011-08,$4.45B
2011-09,$4.75B
2011-10,$3.82B
2011-11,$3.49B
2011-12,$3.25B
2012-01,$3.16B
2012-02,$4.2B
2012-03,$4.15B
2012-04,$3.69B
2012-05,$3.17B
2012-06,$3.51B
2012-07,$2.21B
2012-08,$2.41B
2012-09,$2.76B
2012-10,$2.59B
2012-11,$3.28B
2012-12,$3.53B
2013-01,$3.27B
2013-02,$3.15B
2013-03,$3.34B
2013-04,$4.58B
2013-05,$5.27B
2013-06,$5.45B
2013-07,$5.04B
2013-08,$4.75B
2013-09,$5.3B
2013-10,$5.21B
2013-11,$4.97B
2013-12,$5.2B
2014-01,$4.92B
2014-02,$5.25B
2014-03,$4.68B
2014-04,$4.28B
2014-05,$4.76B
2014-06,$5.23B
2014-07,$5.0B
2014-08,$5.05B
2014-09,$5.48B
2014-10,$6.04B
2014-11,$6.05B
2014-12,$6.18B
2015-01,$6.56B
2015-02,$6.16B
2015-03,$6.01B
2015-04,$6.63B
2015-05,$7.67B
2015-06,$7.3B
2015-07,$8.0B
2015-08,$7.33B
2015-09,$7.11B
2015-10,$7.52B
2015-11,$6.36B
2015-12,$6.69B
2016-01,$6.59B
2016-02,$6.34B
2016-03,$6.39B
2016-04,$6.2B
2016-05,$6.3B
2016-06,$5.67B
2016-07,$5.82B
2016-08,$5.71B
2016-09,$5.79B
2016-10,$5.66B
2016-11,$5.87B
2016-12,$6.5B
2017-01,$6.06B
2017-02,$6.35B
2017-03,$6.64B
2017-04,$6.54B
2017-05,$7.24B
2017-06,$6.84B
2017-07,$6.61B
2017-08,$6.62B
2017-09,$6.3B
2017-10,$6.52B
2017-12,$6.34B
2018-01,$6.19B
2018-02,$6.18B
2018-03,$6.25B
2018-04,$6.21B
2018-05,$6.11B
2018-06,$5.96B
2018-07,$6.25B
2018-08,$6.14B
2018-09,$6.79B
2018-10,$6.29B
2018-11,$6.53B
2018-12,$6.38B
2019-01,$6.48B
2019-02,$6.43B
2019-03,$6.22B
2019-04,$5.6B
2019-05,$4.88B
2019-06,$4.8B
2019-08,$4.68B
2019-09,$4.64B
2019-10,$4.91B
2019-11,$4.78B
2019-12,$4.76B
2020-01,$4.53B
2020-02,$4.25B
2020-03,$4.59B
2020-04,$4.54B
2020-05,$4.92B
2020-06,$4.52B
2020-07,$4.42B
2020-08,$4.72B
2020-09,$4.74B
2020-10,$4.23B
2020-11,$4.01B
2020-12,$3.8B
2021-01,$3.92B
2021-02,$4.11B
2021-03,$4.56B
2021-04,$4.41B
2021-05,$4.13B
2021-06,$3.86B
2021-07,$3.81B
2021-08,$3.85B
2021-09,$3.89B
2021-10,$3.47B
2021-11,$3.33B
2021-12,$3.56B
