timeline,大阪瓦斯株式会社
2001-01,$6.36B
2001-02,$6.69B
2001-03,$6.99B
2001-04,$7.89B
2001-05,$8.21B
2001-06,$8.61B
2001-07,$8.34B
2001-08,$8.27B
2001-09,$8.01B
2001-10,$7.93B
2001-11,$6.9B
2001-12,$6.71B
2002-01,$6.28B
2002-02,$6.54B
2002-03,$6.06B
2002-04,$5.81B
2002-05,$6.35B
2002-06,$5.96B
2002-07,$5.87B
2002-08,$6.04B
2002-09,$6.21B
2002-11,$6.0B
2002-12,$6.12B
2003-01,$5.93B
2003-02,$6.29B
2003-03,$6.54B
2003-04,$7.21B
2003-05,$6.87B
2003-06,$6.21B
2003-07,$6.33B
2003-08,$6.12B
2003-09,$6.37B
2003-10,$6.35B
2003-11,$6.0B
2003-12,$6.06B
2004-01,$6.56B
2004-02,$6.58B
2004-03,$6.5B
2004-04,$6.39B
2004-05,$6.21B
2004-06,$6.33B
2004-07,$6.21B
2004-08,$6.33B
2004-09,$6.27B
2004-10,$6.42B
2004-11,$6.56B
2004-12,$6.69B
2005-01,$6.54B
2005-02,$6.58B
2005-03,$6.9B
2005-05,$7.02B
2005-06,$7.29B
2005-07,$7.42B
2005-08,$7.4B
2005-09,$8.3B
2005-10,$8.88B
2005-11,$8.21B
2005-12,$8.5B
2006-01,$8.82B
2006-02,$9.3B
2006-03,$8.44B
2006-04,$8.4B
2006-05,$7.73B
2006-06,$7.26B
2006-07,$7.63B
2006-08,$8.52B
2006-09,$8.12B
2006-10,$8.32B
2006-11,$8.22B
2006-12,$8.74B
2007-01,$9.25B
2007-02,$9.17B
2007-03,$9.01B
2007-04,$8.87B
2007-05,$8.93B
2007-06,$9.03B
2007-07,$8.09B
2007-08,$8.48B
2007-09,$7.95B
2007-10,$8.81B
2007-11,$8.7B
2008-01,$8.03B
2008-02,$8.28B
2008-03,$7.58B
2008-04,$7.04B
2008-05,$7.29B
2008-06,$7.41B
2008-07,$7.42B
2008-08,$7.58B
2008-09,$6.89B
2008-10,$6.55B
2008-11,$6.91B
2008-12,$7.88B
2009-01,$7.35B
2009-02,$6.7B
2009-03,$5.86B
2009-04,$5.96B
2009-05,$5.73B
2009-06,$5.86B
2009-07,$6.0B
2009-08,$6.13B
2009-09,$6.0B
2009-10,$5.77B
2009-11,$6.0B
2009-12,$5.98B
2010-01,$6.05B
2010-02,$6.13B
2010-03,$6.35B
2010-04,$6.2B
2010-05,$5.87B
2010-06,$6.06B
2010-07,$6.04B
2010-08,$6.01B
2010-09,$5.7B
2010-10,$5.76B
2010-11,$5.93B
2010-12,$5.97B
2011-01,$5.87B
2011-02,$5.89B
2011-03,$6.1B
2011-04,$5.47B
2011-05,$5.29B
2011-06,$5.6B
2011-08,$5.69B
2011-09,$5.91B
2011-10,$5.46B
2011-11,$5.4B
2011-12,$5.58B
2012-01,$5.62B
2012-02,$5.73B
2012-03,$6.1B
2012-04,$5.93B
2012-05,$5.64B
2012-06,$6.13B
2012-07,$5.86B
2012-08,$6.28B
2012-09,$6.32B
2012-10,$6.04B
2012-11,$5.95B
2012-12,$5.77B
2013-01,$6.3B
2013-02,$6.61B
2013-03,$7.6B
2013-04,$7.75B
2013-05,$7.53B
2013-06,$7.69B
2013-07,$7.62B
2013-08,$7.29B
2013-09,$7.68B
2013-10,$7.58B
2013-11,$7.6B
2013-12,$7.58B
2014-01,$7.66B
2014-02,$7.77B
2014-03,$7.18B
2014-04,$7.07B
2014-05,$7.43B
2014-06,$7.82B
2014-07,$7.9B
2014-08,$7.86B
2014-09,$8.09B
2014-10,$8.1B
2014-11,$8.33B
2014-12,$8.28B
2015-01,$8.57B
2015-02,$9.06B
2015-03,$9.23B
2015-04,$9.35B
2015-05,$9.14B
2015-06,$8.87B
2015-07,$9.1B
2015-08,$9.04B
2015-09,$8.31B
2015-10,$8.78B
2015-11,$8.39B
2015-12,$8.05B
2016-01,$8.32B
2016-02,$7.9B
2016-03,$7.93B
2016-04,$7.28B
2016-05,$7.63B
2016-06,$7.2B
2016-07,$7.64B
2016-08,$7.47B
2016-09,$7.74B
2016-10,$8.01B
2016-11,$7.94B
2016-12,$8.25B
2017-01,$7.76B
2017-02,$7.95B
2017-03,$7.76B
2017-04,$7.65B
2017-05,$8.02B
2017-06,$8.43B
2017-07,$8.1B
2017-08,$7.89B
2017-09,$7.67B
2017-10,$8.03B
2017-11,$7.91B
2017-12,$7.96B
2018-01,$7.94B
2018-02,$7.77B
2018-03,$7.7B
2018-04,$8.63B
2018-05,$8.71B
2018-06,$8.41B
2018-07,$7.87B
2018-08,$7.61B
2018-09,$8.13B
2018-10,$7.6B
2018-11,$7.59B
2018-12,$7.37B
2019-01,$7.88B
2019-02,$8.36B
2019-03,$8.01B
2019-04,$7.54B
2019-05,$7.07B
2019-06,$6.88B
2019-07,$7.35B
2019-08,$6.98B
2019-09,$7.58B
2019-10,$7.79B
2019-11,$7.53B
2019-12,$7.67B
2020-01,$6.81B
2020-02,$6.4B
2020-03,$7.47B
2020-04,$7.58B
2020-05,$7.9B
2020-06,$7.8B
2020-07,$7.13B
2020-08,$7.71B
2020-09,$7.52B
2020-10,$7.29B
2020-11,$7.89B
2020-12,$7.53B
2021-01,$7.43B
2021-02,$7.21B
2021-03,$7.71B
2021-04,$7.58B
2021-05,$7.87B
2021-06,$7.61B
2021-07,$7.44B
2021-08,$7.92B
2021-09,$8.11B
2021-10,$7.15B
2021-11,$6.67B
2021-12,$6.85B
