timeline,東邦瓦斯株式会社
2006-03,$2.4B
2006-04,$2.5B
2006-05,$2.43B
2006-06,$2.51B
2006-07,$2.4B
2006-08,$2.53B
2006-09,$2.55B
2006-10,$2.74B
2006-11,$2.67B
2006-12,$2.91B
2007-01,$2.9B
2007-02,$2.88B
2007-03,$3.05B
2007-04,$3.1B
2007-05,$2.95B
2007-06,$3.06B
2007-07,$2.75B
2007-08,$2.93B
2007-09,$2.83B
2007-10,$2.96B
2007-11,$3.0B
2007-12,$2.79B
2008-01,$2.68B
2008-02,$2.74B
2008-03,$2.39B
2008-04,$2.52B
2008-05,$2.72B
2008-06,$2.9B
2008-07,$3.09B
2008-08,$3.06B
2008-09,$2.9B
2008-10,$2.81B
2008-11,$2.76B
2008-12,$2.95B
2009-01,$2.75B
2009-02,$2.53B
2009-03,$2.23B
2009-04,$2.07B
2009-05,$1.92B
2009-06,$1.93B
2009-07,$1.88B
2009-08,$2.13B
2009-09,$2.02B
2009-10,$2.32B
2009-11,$2.39B
2009-12,$2.44B
2010-01,$2.34B
2010-02,$2.4B
2010-03,$2.52B
2010-04,$2.34B
2010-05,$2.23B
2010-06,$2.34B
2010-07,$2.16B
2010-08,$2.15B
2010-09,$2.04B
2010-10,$2.1B
2010-11,$1.95B
2010-12,$2.0B
2011-01,$2.08B
2011-02,$2.17B
2011-03,$2.12B
2011-04,$1.86B
2011-05,$1.92B
2011-06,$2.09B
2011-07,$2.02B
2011-08,$2.16B
2011-09,$2.44B
2011-10,$2.13B
2011-11,$2.19B
2011-12,$2.35B
2012-01,$2.37B
2012-02,$2.27B
2012-03,$2.35B
2012-04,$2.32B
2012-05,$2.14B
2012-06,$2.38B
2012-07,$2.27B
2012-08,$2.46B
2012-09,$2.5B
2012-10,$2.33B
2012-11,$2.31B
2012-12,$2.23B
2013-01,$2.35B
2013-02,$2.46B
2013-03,$2.95B
2013-04,$2.79B
2013-05,$2.56B
2013-06,$2.47B
2013-07,$2.36B
2013-09,$2.47B
2013-10,$2.46B
2013-11,$2.39B
2013-12,$2.46B
2014-01,$2.3B
2014-02,$2.48B
2014-03,$2.7B
2014-04,$2.41B
2014-05,$2.45B
2014-06,$2.68B
2014-07,$2.76B
2014-08,$2.88B
2014-09,$2.97B
2014-10,$2.88B
2014-11,$3.0B
2014-12,$2.85B
2015-01,$3.1B
2015-02,$3.24B
2015-03,$3.37B
2015-04,$3.5B
2015-05,$3.73B
2015-06,$3.46B
2015-07,$3.53B
2015-08,$3.49B
2015-09,$3.36B
2015-10,$3.55B
2015-11,$3.65B
2015-12,$3.74B
2016-02,$3.75B
2016-03,$3.81B
2016-04,$3.58B
2016-05,$3.92B
2016-06,$3.99B
2016-07,$4.33B
2016-08,$4.2B
2016-09,$4.5B
2016-10,$4.64B
2016-11,$4.32B
2016-12,$4.54B
2017-01,$4.02B
2017-02,$3.84B
2017-03,$3.72B
2017-04,$3.76B
2017-05,$4.03B
2017-06,$3.85B
2017-07,$3.5B
2017-08,$3.4B
2017-09,$3.09B
2017-10,$2.95B
2017-11,$2.97B
2017-12,$2.88B
2018-01,$2.98B
2018-02,$2.92B
2018-03,$3.05B
2018-04,$3.11B
2018-05,$3.22B
2018-06,$3.6B
2018-07,$3.57B
2018-08,$3.49B
2018-09,$4.05B
2018-10,$3.66B
2018-11,$4.31B
2018-12,$4.35B
2019-01,$4.37B
2019-02,$4.75B
2019-03,$4.66B
2019-04,$4.3B
2019-05,$3.97B
2019-06,$3.72B
2019-07,$3.9B
2019-08,$3.87B
2019-09,$3.85B
2019-10,$3.94B
2019-11,$3.85B
2019-12,$4.15B
2020-01,$3.95B
2020-02,$3.49B
2020-03,$4.56B
2020-04,$5.0B
2020-05,$4.95B
2020-06,$5.03B
2020-07,$4.27B
2020-08,$4.43B
2020-09,$4.62B
2020-10,$4.89B
2020-11,$6.02B
2020-12,$6.1B
2021-01,$5.99B
2021-02,$6.03B
2021-03,$6.03B
2021-04,$5.92B
2021-05,$5.79B
2021-06,$5.2B
2021-07,$5.14B
2021-08,$5.15B
2021-09,$5.12B
2021-10,$3.7B
2021-11,$3.0B
2021-12,$2.88B
