timeline,株式会社エヌ・ティ・ティ・データ
2001-01,$17.58B
2001-02,$16.45B
2001-03,$14.96B
2001-04,$19.73B
2001-05,$18.0B
2001-06,$16.82B
2001-07,$14.69B
2001-08,$10.88B
2001-09,$13.23B
2001-11,$12.36B
2001-12,$11.52B
2002-01,$10.39B
2002-02,$10.98B
2002-03,$13.45B
2002-04,$14.17B
2002-05,$14.59B
2002-06,$11.87B
2002-07,$11.72B
2002-08,$10.93B
2002-09,$10.81B
2002-10,$9.15B
2002-11,$9.1B
2002-12,$8.11B
2003-01,$8.14B
2003-02,$8.24B
2003-03,$7.99B
2003-04,$6.97B
2003-05,$7.42B
2003-06,$9.15B
2003-07,$10.16B
2003-08,$11.62B
2003-09,$11.6B
2003-10,$12.04B
2003-11,$9.94B
2003-12,$10.02B
2004-01,$10.07B
2004-02,$9.82B
2004-03,$10.93B
2004-04,$10.68B
2004-05,$7.99B
2004-06,$8.7B
2004-07,$7.89B
2004-08,$7.59B
2004-09,$7.17B
2004-10,$7.2B
2004-11,$7.57B
2004-12,$8.19B
2005-01,$8.83B
2005-02,$9.13B
2005-03,$9.15B
2005-04,$7.99B
2005-05,$8.61B
2005-06,$9.37B
2005-07,$9.2B
2005-08,$9.4B
2005-09,$10.83B
2005-10,$9.97B
2005-11,$10.49B
2005-12,$14.52B
2006-01,$14.42B
2006-02,$13.43B
2006-03,$14.0B
2006-04,$13.03B
2006-05,$11.75B
2006-06,$12.24B
2006-07,$12.88B
2006-08,$13.4B
2006-09,$13.48B
2006-10,$14.42B
2006-11,$14.39B
2006-12,$14.74B
2007-01,$15.26B
2007-02,$14.84B
2007-03,$14.81B
2007-04,$14.57B
2007-05,$14.37B
2007-06,$14.47B
2007-07,$12.36B
2007-08,$13.85B
2007-09,$12.66B
2007-10,$12.93B
2007-11,$12.49B
2007-12,$12.29B
2008-01,$11.62B
2008-02,$12.19B
2008-03,$10.78B
2008-04,$10.56B
2008-05,$10.81B
2008-06,$10.26B
2008-07,$11.03B
2008-08,$11.15B
2008-09,$10.24B
2008-10,$7.91B
2008-11,$8.51B
2008-12,$8.85B
2009-01,$7.21B
2009-02,$6.07B
2009-03,$6.61B
2009-04,$6.39B
2009-05,$7.0B
2009-06,$7.72B
2009-07,$7.89B
2009-08,$7.84B
2009-09,$7.11B
2009-10,$6.53B
2009-11,$6.06B
2009-12,$7.15B
2010-01,$6.95B
2010-02,$6.82B
2010-03,$7.7B
2010-04,$8.45B
2010-05,$8.37B
2010-06,$8.16B
2010-07,$7.77B
2010-08,$6.5B
2010-09,$6.53B
2010-10,$6.12B
2010-11,$6.71B
2010-12,$6.95B
2011-01,$6.59B
2011-02,$7.19B
2011-03,$6.36B
2011-04,$6.58B
2011-05,$6.33B
2011-06,$6.58B
2011-07,$6.62B
2011-08,$6.04B
2011-09,$5.97B
2011-10,$6.59B
2011-11,$5.84B
2011-12,$6.08B
2012-01,$6.18B
2012-02,$6.77B
2012-03,$7.19B
2012-04,$6.88B
2012-05,$5.57B
2012-06,$6.02B
2012-07,$5.91B
2012-08,$5.77B
2012-09,$6.06B
2012-10,$6.43B
2012-11,$5.91B
2012-12,$6.64B
2013-01,$6.91B
2013-02,$7.28B
2013-03,$7.75B
2013-04,$7.62B
2013-05,$8.54B
2013-06,$8.7B
2013-09,$8.17B
2013-10,$8.04B
2013-11,$9.11B
2013-12,$9.6B
2014-01,$9.08B
2014-02,$10.4B
2014-03,$9.93B
2014-04,$9.78B
2014-05,$9.15B
2014-06,$9.62B
2014-07,$9.77B
2014-08,$9.22B
2014-09,$9.77B
2014-10,$10.55B
2014-11,$11.2B
2014-12,$11.17B
2015-02,$12.2B
2015-03,$12.93B
2015-04,$13.3B
2015-05,$13.68B
2015-06,$13.23B
2015-07,$14.66B
2015-08,$14.44B
2015-09,$14.86B
2015-10,$14.96B
2015-11,$14.84B
2015-12,$14.54B
2016-01,$14.22B
2016-02,$13.97B
2016-04,$14.19B
2016-05,$14.15B
2016-06,$11.94B
2016-07,$12.64B
2016-08,$13.33B
2016-09,$12.44B
2016-10,$13.4B
2016-11,$14.07B
2016-12,$13.97B
2017-01,$14.1B
2017-02,$13.11B
2017-03,$13.06B
2017-04,$12.79B
2017-05,$14.76B
2017-06,$15.46B
2017-07,$14.87B
2017-08,$14.69B
2017-09,$14.89B
2017-10,$16.28B
2017-11,$16.33B
2017-12,$16.56B
2018-01,$15.86B
2018-02,$13.75B
2018-03,$14.0B
2018-04,$14.58B
2018-05,$15.05B
2018-06,$15.78B
2018-07,$15.74B
2018-08,$17.66B
2018-09,$19.45B
2018-10,$18.0B
2018-11,$16.32B
2018-12,$14.9B
2019-01,$16.02B
2019-02,$15.05B
2019-03,$15.1B
2019-04,$16.0B
2019-05,$16.07B
2019-06,$17.74B
2019-08,$16.95B
2019-09,$17.24B
2019-10,$17.71B
2019-11,$18.45B
2019-12,$18.14B
2020-01,$19.23B
2020-02,$16.31B
2020-03,$12.86B
2020-04,$13.66B
2020-05,$14.41B
2020-06,$14.83B
2020-07,$15.15B
2020-08,$15.31B
2020-09,$16.59B
2020-10,$15.7B
2020-11,$17.28B
2020-12,$17.14B
2021-02,$20.75B
2021-03,$21.47B
2021-04,$21.09B
2021-05,$21.25B
2021-06,$21.43B
2021-07,$21.48B
2021-08,$23.41B
2021-09,$27.58B
2021-10,$27.17B
2021-11,$30.4B
2021-12,$29.8B
