timeline,株式会社スクウェア・エニックス・ホールディングス
2006-03,$2.96B
2006-04,$2.73B
2006-05,$2.33B
2006-06,$2.32B
2006-08,$2.66B
2006-09,$2.79B
2006-10,$2.86B
2006-11,$2.85B
2006-12,$3.04B
2007-01,$3.21B
2007-02,$2.96B
2007-04,$2.99B
2007-05,$3.11B
2007-06,$3.04B
2007-07,$3.37B
2007-08,$3.51B
2007-09,$3.71B
2007-10,$3.69B
2007-11,$3.44B
2007-12,$3.34B
2008-01,$2.98B
2008-02,$3.43B
2008-03,$3.4B
2008-04,$3.31B
2008-05,$3.16B
2008-06,$3.07B
2008-07,$3.29B
2008-08,$3.53B
2008-09,$2.99B
2008-10,$2.39B
2008-11,$2.66B
2008-12,$2.81B
2009-01,$2.39B
2009-02,$1.71B
2009-03,$1.89B
2009-04,$1.79B
2009-05,$2.14B
2009-06,$2.3B
2009-07,$2.14B
2009-08,$2.43B
2009-09,$2.47B
2009-10,$2.31B
2009-11,$1.91B
2009-12,$1.98B
2010-01,$1.83B
2010-02,$1.81B
2010-03,$2.07B
2010-04,$2.01B
2010-05,$1.73B
2010-06,$1.67B
2010-07,$1.69B
2010-08,$1.76B
2010-09,$1.9B
2010-10,$1.71B
2010-11,$1.62B
2010-12,$1.46B
2011-01,$1.45B
2011-02,$1.54B
2011-03,$1.46B
2011-04,$1.36B
2011-05,$1.33B
2011-06,$1.47B
2011-07,$1.52B
2011-08,$1.86B
2011-09,$1.42B
2011-10,$1.53B
2011-11,$1.58B
2011-12,$1.53B
2012-01,$1.56B
2012-02,$1.61B
2012-03,$1.76B
2012-04,$1.59B
2012-05,$1.26B
2012-06,$1.27B
2012-07,$1.23B
2012-08,$1.33B
2012-09,$1.21B
2012-10,$1.14B
2012-11,$1.13B
2012-12,$1.11B
2013-01,$1.15B
2013-02,$1.08B
2013-03,$1.02B
2013-04,$1.21B
2013-05,$1.34B
2013-06,$1.21B
2013-07,$1.37B
2013-08,$1.46B
2013-09,$1.58B
2013-10,$1.61B
2013-11,$1.78B
2013-12,$1.87B
2014-01,$2.94B
2014-02,$2.35B
2014-03,$2.16B
2014-04,$1.67B
2014-05,$1.61B
2014-06,$1.82B
2014-07,$2.16B
2014-08,$2.43B
2014-09,$2.37B
2014-10,$2.33B
2014-11,$2.36B
2014-12,$2.55B
2015-01,$2.65B
2015-02,$2.63B
2015-03,$2.77B
2015-04,$2.72B
2015-05,$2.92B
2015-06,$2.91B
2015-07,$3.36B
2015-08,$3.4B
2015-09,$3.19B
2015-10,$3.53B
2015-11,$3.01B
2015-12,$3.16B
2016-01,$3.08B
2016-02,$2.86B
2016-03,$3.27B
2016-04,$3.05B
2016-05,$3.77B
2016-06,$3.56B
2016-07,$3.46B
2016-08,$3.26B
2016-09,$3.74B
2016-10,$3.75B
2016-11,$3.1B
2016-12,$3.24B
2017-01,$3.48B
2017-02,$3.68B
2017-03,$3.39B
2017-04,$3.46B
2017-05,$3.78B
2017-06,$3.96B
2017-07,$3.8B
2017-08,$4.06B
2017-09,$4.44B
2017-10,$4.8B
2017-11,$5.37B
2017-12,$5.63B
2018-01,$5.23B
2018-02,$4.81B
2018-03,$5.11B
2018-04,$4.79B
2018-05,$5.68B
2018-06,$5.71B
2018-07,$5.55B
2018-08,$5.33B
2018-09,$4.94B
2018-10,$4.25B
2018-11,$3.89B
2018-12,$3.14B
2019-01,$3.79B
2019-02,$3.45B
2019-03,$4.08B
2019-04,$4.03B
2019-05,$4.02B
2019-06,$3.63B
2019-07,$3.94B
2019-08,$4.46B
2019-09,$5.52B
2019-10,$5.4B
2019-11,$5.69B
2019-12,$5.71B
2020-01,$5.66B
2020-02,$4.57B
2020-03,$5.08B
2020-05,$5.08B
2020-06,$5.72B
2020-07,$5.93B
2020-08,$7.33B
2020-09,$7.25B
2020-10,$6.61B
2020-11,$6.25B
2020-12,$6.7B
2021-01,$6.29B
2021-02,$7.37B
2021-03,$6.7B
2021-04,$6.67B
2021-05,$6.08B
2021-06,$5.99B
2021-07,$5.83B
2021-08,$6.94B
2021-09,$7.12B
2021-10,$6.37B
2021-11,$6.76B
2021-12,$6.36B
