timeline,株式会社カプコン
2006-03,$0.59B
2006-04,$0.57B
2006-06,$0.67B
2006-07,$0.66B
2006-08,$0.83B
2006-10,$1.04B
2006-11,$1.0B
2006-12,$1.04B
2007-01,$1.11B
2007-02,$0.9B
2007-03,$0.82B
2007-04,$0.91B
2007-05,$1.14B
2007-06,$1.15B
2007-07,$1.2B
2007-08,$1.24B
2007-09,$1.32B
2007-10,$1.63B
2007-11,$1.49B
2007-12,$1.42B
2008-01,$1.28B
2008-02,$1.45B
2008-03,$1.83B
2008-04,$1.68B
2008-05,$1.88B
2008-06,$1.67B
2008-07,$1.82B
2008-08,$1.81B
2008-09,$1.61B
2008-10,$1.17B
2008-11,$1.05B
2008-12,$1.08B
2009-01,$0.88B
2009-02,$1.02B
2009-03,$0.94B
2009-04,$0.92B
2009-05,$1.0B
2009-06,$0.94B
2009-07,$1.03B
2009-08,$0.99B
2009-09,$0.95B
2009-10,$0.83B
2009-11,$0.75B
2009-12,$0.82B
2010-01,$0.8B
2010-02,$0.81B
2010-03,$0.94B
2010-04,$1.01B
2010-05,$0.86B
2010-06,$0.77B
2010-07,$0.71B
2010-08,$0.65B
2010-09,$0.7B
2010-10,$0.68B
2010-12,$0.7B
2011-01,$0.75B
2011-02,$0.84B
2011-03,$0.85B
2011-04,$0.8B
2011-05,$0.85B
2011-06,$0.99B
2011-07,$1.08B
2011-08,$1.19B
2011-09,$1.04B
2011-10,$1.1B
2011-11,$1.04B
2011-12,$0.97B
2012-01,$0.9B
2012-02,$0.94B
2012-03,$0.96B
2012-04,$0.93B
2012-05,$0.77B
2012-06,$0.84B
2012-07,$0.81B
2012-08,$0.79B
2012-09,$0.82B
2012-10,$0.77B
2012-11,$0.79B
2012-12,$0.67B
2013-01,$0.75B
2013-02,$0.72B
2013-03,$0.75B
2013-04,$0.82B
2013-05,$0.83B
2013-06,$0.82B
2013-07,$0.88B
2013-08,$0.86B
2013-09,$0.96B
2013-10,$0.93B
2013-11,$1.01B
2013-12,$0.96B
2014-01,$1.03B
2014-02,$0.99B
2014-03,$0.97B
2014-04,$0.88B
2014-05,$0.85B
2014-07,$0.94B
2014-08,$0.95B
2014-09,$0.85B
2014-11,$0.88B
2014-12,$0.9B
2015-01,$0.98B
2015-02,$1.05B
2015-03,$1.18B
2015-04,$1.11B
2015-05,$1.19B
2015-06,$1.18B
2015-07,$1.35B
2015-08,$1.41B
2015-09,$1.17B
2015-10,$1.27B
2015-11,$1.34B
2015-12,$1.45B
2016-01,$1.32B
2016-02,$1.17B
2016-03,$1.36B
2016-04,$1.26B
2016-05,$1.3B
2016-06,$1.17B
2016-07,$1.04B
2016-08,$1.12B
2016-09,$1.23B
2016-10,$1.35B
2016-11,$1.24B
2016-12,$1.36B
2017-01,$1.19B
2017-02,$1.13B
2017-03,$1.05B
2017-04,$1.16B
2017-05,$1.26B
2017-06,$1.29B
2017-07,$1.32B
2017-09,$1.34B
2017-10,$1.39B
2017-11,$1.55B
2017-12,$1.73B
2018-01,$2.01B
2018-02,$2.09B
2018-03,$2.22B
2018-04,$2.03B
2018-05,$2.47B
2018-06,$2.64B
2018-07,$2.79B
2018-08,$2.5B
2018-09,$2.78B
2018-10,$2.26B
2018-11,$2.15B
2018-12,$2.1B
2019-01,$2.25B
2019-02,$2.1B
2019-03,$2.34B
2019-04,$2.36B
2019-05,$2.1B
2019-06,$2.04B
2019-07,$2.16B
2019-08,$2.61B
2019-09,$2.7B
2019-10,$2.42B
2019-11,$2.47B
2019-12,$2.85B
2020-01,$2.93B
2020-02,$2.87B
2020-03,$3.19B
2020-04,$3.1B
2020-05,$3.58B
2020-06,$3.69B
2020-07,$3.93B
2020-08,$4.72B
2020-09,$5.38B
2020-10,$5.41B
2020-11,$5.25B
2020-12,$6.13B
2021-01,$6.5B
2021-02,$6.26B
2021-03,$6.53B
2021-04,$8.57B
2021-05,$8.27B
2021-06,$7.32B
2021-07,$5.76B
2021-08,$5.72B
2021-09,$6.51B
2021-10,$5.9B
2021-11,$5.74B
2021-12,$5.29B
