timeline,日本空港ビルデング株式会社
2006-03,$0.99B
2006-04,$1.17B
2006-05,$1.0B
2006-06,$1.1B
2006-07,$1.04B
2006-08,$1.27B
2006-09,$1.14B
2006-10,$1.22B
2006-11,$1.16B
2006-12,$1.24B
2007-01,$1.39B
2007-02,$1.52B
2007-04,$1.96B
2007-05,$1.83B
2007-06,$1.72B
2007-07,$1.85B
2007-08,$2.06B
2007-09,$2.45B
2007-10,$1.98B
2007-11,$1.91B
2007-12,$1.69B
2008-01,$1.31B
2008-02,$1.74B
2008-03,$1.94B
2008-04,$1.84B
2008-05,$1.69B
2008-06,$1.48B
2008-07,$1.4B
2008-08,$1.24B
2008-09,$0.94B
2008-10,$1.05B
2008-11,$1.11B
2008-12,$1.06B
2009-01,$0.91B
2009-02,$0.96B
2009-03,$0.92B
2009-04,$0.87B
2009-05,$1.06B
2009-06,$1.04B
2009-07,$0.98B
2009-08,$0.96B
2009-09,$1.0B
2009-10,$1.14B
2009-11,$0.98B
2009-12,$1.11B
2010-01,$1.09B
2010-02,$1.19B
2010-03,$1.15B
2010-04,$1.33B
2010-05,$1.13B
2010-06,$1.17B
2010-07,$1.18B
2010-08,$1.27B
2010-09,$1.22B
2010-10,$1.17B
2010-11,$1.09B
2010-12,$1.11B
2011-01,$1.09B
2011-02,$1.1B
2011-03,$0.93B
2011-04,$0.92B
2011-05,$0.76B
2011-06,$0.66B
2011-07,$0.7B
2011-08,$0.81B
2011-09,$0.83B
2011-10,$0.74B
2011-11,$0.79B
2011-12,$0.71B
2012-01,$0.75B
2012-02,$0.77B
2012-03,$0.78B
2012-04,$0.79B
2012-05,$0.62B
2012-06,$0.69B
2012-07,$0.64B
2012-08,$0.65B
2012-09,$0.66B
2012-10,$0.62B
2012-11,$0.67B
2012-12,$0.64B
2013-01,$0.69B
2013-02,$0.75B
2013-03,$0.9B
2013-04,$1.08B
2013-05,$0.92B
2013-06,$1.13B
2013-07,$1.32B
2013-08,$1.29B
2013-09,$1.63B
2013-10,$1.7B
2013-11,$1.64B
2013-12,$1.7B
2014-01,$1.49B
2014-02,$1.69B
2014-03,$1.92B
2014-04,$1.69B
2014-05,$1.87B
2014-06,$2.15B
2014-07,$2.54B
2014-08,$2.67B
2014-09,$3.15B
2014-10,$3.1B
2014-11,$3.35B
2014-12,$3.43B
2015-01,$3.83B
2015-02,$4.2B
2015-03,$5.22B
2015-04,$4.86B
2015-05,$5.19B
2015-06,$4.78B
2015-07,$4.73B
2015-08,$3.89B
2015-09,$3.68B
2015-10,$4.73B
2015-11,$4.45B
2015-12,$3.88B
2016-01,$3.4B
2016-02,$2.84B
2016-03,$2.87B
2016-04,$2.88B
2016-05,$2.74B
2016-06,$2.64B
2016-07,$3.28B
2016-08,$2.92B
2016-09,$2.75B
2016-10,$2.89B
2016-11,$3.05B
2016-12,$3.03B
2017-01,$2.9B
2017-02,$2.81B
2017-03,$2.77B
2017-05,$3.11B
2017-06,$3.08B
2017-07,$2.93B
2017-08,$2.86B
2017-09,$2.87B
2017-11,$3.0B
2017-12,$2.99B
2018-01,$3.02B
2018-02,$2.9B
2018-03,$2.91B
2018-04,$3.22B
2018-05,$3.6B
2018-06,$3.72B
2018-07,$3.8B
2018-08,$3.56B
2018-09,$3.7B
2018-10,$3.11B
2018-11,$3.16B
2018-12,$2.73B
2019-01,$2.98B
2019-02,$3.17B
2019-03,$3.35B
2019-04,$3.36B
2019-05,$2.95B
2019-06,$3.29B
2019-07,$3.25B
2019-08,$3.03B
2019-09,$3.35B
2019-10,$3.86B
2019-11,$4.08B
2019-12,$4.36B
2020-01,$3.66B
2020-02,$3.14B
2020-03,$2.99B
2020-04,$3.06B
2020-05,$3.4B
2020-06,$3.29B
2020-07,$2.6B
2020-08,$3.07B
2020-09,$3.39B
2020-10,$3.34B
2020-11,$4.15B
2020-12,$4.67B
2021-01,$4.25B
2021-02,$3.72B
2021-03,$3.75B
2021-04,$3.62B
2021-05,$3.31B
2021-06,$3.94B
2021-07,$4.05B
2021-08,$4.08B
2021-09,$4.28B
2021-10,$4.53B
2021-11,$4.74B
2021-12,$4.31B
