timeline,ＳＣＳＫ株式会社
2006-03,$1.11B
2006-04,$1.04B
2006-05,$0.97B
2006-06,$1.0B
2006-07,$1.02B
2006-08,$1.06B
2006-09,$1.14B
2006-10,$1.35B
2006-11,$1.36B
2006-12,$1.3B
2007-01,$1.27B
2007-02,$1.22B
2007-03,$1.19B
2007-04,$1.16B
2007-05,$1.11B
2007-06,$1.15B
2007-07,$1.09B
2007-08,$1.1B
2007-09,$1.05B
2007-10,$0.97B
2007-11,$0.84B
2007-12,$0.85B
2008-02,$0.93B
2008-03,$0.88B
2008-04,$0.93B
2008-05,$0.91B
2008-07,$0.93B
2008-08,$0.91B
2008-09,$0.75B
2008-10,$0.71B
2008-11,$0.7B
2008-12,$0.69B
2009-01,$0.62B
2009-02,$0.5B
2009-04,$0.51B
2009-05,$0.6B
2009-06,$0.67B
2009-07,$0.7B
2009-08,$0.68B
2009-09,$0.66B
2009-10,$0.64B
2009-11,$0.55B
2009-12,$0.56B
2010-02,$0.53B
2010-03,$0.6B
2010-04,$0.68B
2010-05,$0.59B
2010-06,$0.54B
2010-07,$0.59B
2010-08,$0.57B
2010-09,$0.56B
2010-10,$0.53B
2010-11,$0.54B
2010-12,$0.64B
2011-01,$0.59B
2011-02,$0.56B
2011-03,$0.51B
2011-04,$0.5B
2011-05,$0.54B
2011-06,$0.61B
2011-07,$0.59B
2011-08,$0.57B
2011-09,$0.55B
2011-10,$0.54B
2011-11,$1.13B
2011-12,$1.12B
2012-01,$1.17B
2012-02,$1.14B
2012-03,$1.2B
2012-04,$1.14B
2012-05,$1.03B
2012-06,$1.06B
2012-07,$0.96B
2012-08,$1.13B
2012-09,$1.26B
2012-10,$1.24B
2012-11,$1.29B
2012-12,$1.23B
2013-01,$1.57B
2013-02,$1.64B
2013-03,$1.68B
2013-04,$1.99B
2013-05,$1.89B
2013-06,$1.75B
2013-07,$1.83B
2013-08,$2.1B
2013-09,$2.16B
2013-10,$2.27B
2013-11,$2.36B
2013-12,$2.52B
2014-01,$2.61B
2014-02,$2.8B
2014-03,$2.55B
2014-04,$2.47B
2014-05,$2.4B
2014-06,$2.61B
2014-07,$2.63B
2014-08,$2.72B
2014-09,$2.7B
2014-10,$2.69B
2014-11,$2.76B
2014-12,$2.77B
2015-01,$2.7B
2015-02,$3.01B
2015-03,$3.08B
2015-04,$3.21B
2015-05,$3.09B
2015-06,$3.42B
2015-07,$4.06B
2015-08,$4.01B
2015-09,$4.1B
2015-10,$4.26B
2015-11,$4.38B
2015-12,$4.47B
2016-01,$4.8B
2016-02,$3.97B
2016-03,$4.03B
2016-04,$3.68B
2016-05,$3.83B
2016-06,$3.5B
2016-07,$3.94B
2016-08,$3.48B
2016-09,$3.73B
2016-10,$3.59B
2016-11,$3.64B
2016-12,$3.74B
2017-01,$3.89B
2017-02,$3.79B
2017-03,$4.05B
2017-04,$4.11B
2017-05,$4.48B
2017-06,$4.61B
2017-07,$4.27B
2017-08,$4.36B
2017-09,$4.37B
2017-10,$4.46B
2017-11,$4.5B
2017-12,$4.76B
2018-01,$4.6B
2018-02,$3.88B
2018-03,$4.05B
2018-04,$4.14B
2018-05,$4.41B
2018-06,$4.72B
2018-07,$4.84B
2018-09,$4.92B
2018-10,$4.38B
2018-11,$4.13B
2018-12,$3.56B
2019-01,$4.02B
2019-02,$4.46B
2019-03,$4.52B
2019-04,$4.83B
2019-05,$4.81B
2019-06,$4.85B
2019-07,$4.76B
2019-08,$4.8B
2019-09,$4.64B
2019-10,$5.07B
2019-11,$5.25B
2019-12,$5.19B
2020-01,$5.41B
2020-02,$5.1B
2020-03,$4.41B
2020-05,$4.62B
2020-06,$4.92B
2020-07,$4.89B
2020-08,$5.23B
2020-09,$5.36B
2020-10,$4.9B
2020-11,$5.43B
2020-12,$5.4B
2021-01,$5.23B
2021-02,$5.97B
2021-03,$5.92B
2021-04,$6.02B
2021-05,$5.69B
2021-06,$5.85B
2021-07,$6.24B
2021-08,$6.31B
2021-09,$7.07B
2021-10,$6.41B
2021-11,$6.02B
2021-12,$6.17B
