,株式コード,資本金,提出者名,提出者業種,残業時間,有休消化率,待遇面の満足度,社員の士気,風通しの良さ,社員の相互尊重,20代成長環境,人材の長期育成,法令遵守意識,人事評価の適正感,従業員数(連結),平均年齢,平均年収,設立年,上場年
0,7203.T,635401.0,トヨタ自動車株式会社,輸送用機器,27.0,87.8,4.2,3.7,3.5,4.2,3.4,4.0,4.9,3.2,372434,40.0,8580,1937,1949
1,6861.T,30637.0,株式会社キーエンス,電気機器,59.6,29.2,4.8,4.4,4.1,3.5,4.6,2.6,3.9,4.3,8380,35.8,17510,1974,1987
2,6758.T,880214.0,ソニーグループ株式会社,電気機器,34.9,61.0,4.1,3.7,4.1,3.7,4.1,3.0,4.6,3.8,109700,42.2,10440,1946,1958
3,6098.T,40000.0,株式会社リクルートホールディングス,サービス業,36.8,57.3,4.1,4.4,4.4,4.1,4.7,3.1,4.0,4.1,47786,38.7,9500,1963,2014
4,9432.T,937950.0,日本電信電話株式会社,情報・通信業,20.8,92.3,3.3,3.0,3.7,3.5,3.6,3.2,4.9,3.0,332950,41.8,9300,1985,1987
5,8035.T,54961.0,東京エレクトロン株式会社,電気機器,31.5,57.5,4.0,3.3,4.1,3.6,3.5,2.7,4.5,3.5,14804,44.3,11790,1963,1980
6,9434.T,204309.0,ソフトバンク株式会社,情報・通信業,28.5,64.9,3.2,3.4,3.7,3.2,3.7,2.7,4.1,3.4,47313,40.1,8200,1986,2018
7,8306.T,2141513.0,株式会社三菱ＵＦＪフィナンシャル・グループ,銀行業,18.3,67.3,3.1,3.0,2.9,3.2,2.9,3.1,4.7,3.0,138161,38.3,7730,2001,2001
8,4063.T,119419.0,信越化学工業株式会社,化学,30.0,61.5,2.5,2.8,2.8,2.9,2.9,2.5,4.1,2.5,24196,42.2,8480,1926,1949
9,6594.T,87784.0,日本電産株式会社,電気機器,27.9,41.1,2.3,2.8,3.0,2.7,3.9,2.1,3.3,3.0,110602,38.7,5870,1973,1988
10,6367.T,85032.0,ダイキン工業株式会社,機械,25.0,90.5,3.0,2.8,3.4,3.2,2.8,2.6,4.2,2.9,84870,39.0,7280,1934,1949
11,9433.T,141852.0,ＫＤＤＩ株式会社,情報・通信業,26.5,65.7,3.8,2.8,2.9,3.2,2.7,2.9,4.8,2.8,48636,42.8,9480,1984,1993
12,9983.T,10273.0,株式会社ファーストリテイリング,小売業,26.7,55.2,3.3,3.7,3.3,3.3,4.0,2.5,3.9,3.5,56591,37.8,9010,1963,1994
13,6902.T,187457.0,株式会社デンソー,輸送用機器,24.7,71.2,4.3,3.0,3.3,3.5,3.0,3.2,4.8,2.9,168738,43.8,7210,1949,1951
14,7741.T,6264.0,ＨＯＹＡ株式会社,精密機器,23.7,41.0,3.0,2.6,2.7,2.6,2.5,2.0,3.8,3.1,37245,46.3,7120,1944,1961
15,6501.T,461731.0,株式会社日立製作所,電気機器,34.5,57.2,3.8,2.9,3.1,3.4,2.9,3.4,4.7,3.0,353520,42.6,8900,1920,1949
16,7974.T,10065.0,任天堂株式会社,その他製品,25.6,78.8,4.3,3.5,3.7,3.7,2.7,2.7,4.8,2.8,6574,39.6,9710,1947,1962
17,4519.T,73201.0,中外製薬株式会社,医薬品,22.3,55.7,4.4,4.1,4.1,4.0,4.3,4.1,4.9,3.7,7679,43.3,11000,1943,1956
18,4661.T,63201.0,株式会社オリエンタルランド,サービス業,17.7,83.8,2.8,3.5,3.1,4.2,2.7,2.7,4.8,2.7,8782,39.2,4510,1960,1996
19,6981.T,69376.0,株式会社村田製作所,電気機器,23.0,63.7,3.7,3.6,3.9,3.7,3.6,3.3,4.7,3.3,76565,40.1,7310,1950,1963
20,7267.T,86067.0,本田技研工業株式会社,輸送用機器,21.7,94.4,3.7,2.6,3.2,3.0,2.5,2.4,4.7,2.6,211374,44.9,7980,1948,1957
21,4689.T,237404.0,Ｚホールディングス株式会社,情報・通信業,None,None,2.9,2.9,3.0,3.0,3.0,3.2,3.2,2.9,22531,42.0,10790,1996,1997
22,8316.T,2341878.0,株式会社三井住友フィナンシャルグループ,銀行業,32.8,66.1,3.4,3.4,3.1,3.1,2.9,2.9,3.8,3.1,86781,38.0,8420,2002,2002
23,8001.T,253448.0,伊藤忠商事株式会社,卸売業,40.8,56.8,4.8,4.2,4.0,3.8,4.0,3.7,4.7,3.7,119240,42.0,16270,1949,1950
24,6273.T,61005.0,ＳＭＣ株式会社,機械,21.3,76.6,3.1,2.4,2.7,2.7,2.5,2.5,3.5,2.6,20861,41.6,7750,1959,1987
25,4568.T,50000.0,第一三共株式会社,医薬品,29.2,62.9,4.5,3.8,3.5,4.2,3.7,3.6,4.6,3.0,16214,44.4,11160,2005,2005
26,4502.T,77923.0,武田薬品工業株式会社,医薬品,23.9,65.5,4.4,2.8,2.9,3.3,3.3,2.7,4.7,3.1,47099,42.0,10760,1925,1949
27,6954.T,69014.0,ファナック株式会社,電気機器,49.2,74.5,4.5,2.1,2.1,2.2,2.2,1.9,4.0,2.3,8256,40.2,10980,1972,1976
28,3382.T,50000.0,株式会社セブン＆アイ・ホールディングス,小売業,22.0,61.7,2.6,3.0,2.7,2.9,2.6,2.4,3.7,2.3,72954,43.9,7420,2005,2005
29,8031.T,342384.0,三井物産株式会社,卸売業,30.0,59.4,4.7,3.9,4.0,4.0,4.0,3.8,4.8,3.3,44509,42.1,14820,1947,1949
30,8766.T,150000.0,東京海上ホールディングス株式会社,保険業,None,None,3.0,3.2,3.0,3.0,3.2,3.2,3.2,3.0,43257,41.9,7720,2002,2002
