会社名,設立年月日,上場年月日,従業員数(単独),従業員数(連結),平均年齢,平均年収
トヨタ自動車(株)【7203】,1937年8月28日,1949年5月,-人,"372,434人",40.0歳,"8,580千円"
(株)キーエンス【6861】,1974年5月27日,1987年10月29日,"2,607人","8,380人",35.8歳,"17,510千円"
ソニーグループ(株)【6758】,1946年5月7日,1958年12月,"2,973人","109,700人",42.2歳,"10,440千円"
(株)リクルートホールディングス【6098】,1963年8月26日,2014年10月16日,138人,"47,786人",38.7歳,"9,500千円"
日本電信電話(株)【9432】,1985年4月1日,1987年2月9日,-人,"332,950人",41.8歳,"9,300千円"
東京エレクトロン(株)【8035】,1963年11月11日,1980年6月,"1,677人","14,804人",44.3歳,"11,790千円"
ソフトバンク(株)【9434】,1986年12月9日,2018年12月19日,"18,173人","47,313人",40.1歳,"8,200千円"
(株)三菱ＵＦＪフィナンシャル・グループ【8306】,2001年4月2日,2001年4月1日,"30,554人","138,161人",38.3歳,"7,730千円"
信越化学工業(株)【4063】,1926年9月16日,1949年5月,"3,278人","24,196人",42.2歳,"8,480千円"
日本電産(株)【6594】,1973年7月23日,1988年11月7日,"2,607人","110,602人",38.7歳,"5,870千円"
ダイキン工業(株)【6367】,1934年2月14日,1949年5月,"7,732人","84,870人",39.0歳,"7,280千円"
ＫＤＤＩ(株)【9433】,1984年6月1日,1993年9月3日,"10,779人","48,636人",42.8歳,"9,480千円"
(株)ファーストリテイリング【9983】,1963年5月1日,1994年7月14日,-人,"56,591人",37.8歳,"9,010千円"
(株)デンソー【6902】,1949年12月16日,1951年12月,"46,386人","168,738人",43.8歳,"7,210千円"
ＨＯＹＡ(株)【7741】,1944年8月23日,1961年10月,"2,992人","37,245人",46.3歳,"7,120千円"
(株)日立製作所【6501】,1920年2月1日,1949年5月,"30,351人","353,520人",42.6歳,"8,900千円"
任天堂(株)【7974】,1947年11月20日,1962年1月,"2,498人","6,574人",39.6歳,"9,710千円"
中外製薬(株)【4519】,1943年3月8日,1956年3月,-人,"7,679人",43.3歳,"11,000千円"
(株)オリエンタルランド【4661】,1960年7月11日,1996年12月11日,"5,375人","8,782人",39.2歳,"4,510千円"
(株)村田製作所【6981】,1950年12月23日,1963年3月,"9,827人","76,565人",40.1歳,"7,310千円"
ホンダ【7267】,1948年9月24日,1957年12月,"35,781人","211,374人",44.9歳,"7,980千円"
Ｚホールディングス(株)【4689】,1996年1月31日,1997年11月4日,243人,"22,531人",42.0歳,"10,790千円"
(株)三井住友フィナンシャルグループ【8316】,2002年12月2日,2002年12月1日,"28,104人","86,781人",38.0歳,"8,420千円"
伊藤忠商事(株)【8001】,1949年12月1日,1950年7月,"4,245人","119,240人",42.0歳,"16,270千円"
ＳＭＣ(株)【6273】,1959年4月27日,1987年12月23日,"5,980人","20,861人",41.6歳,"7,750千円"
第一三共(株)【4568】,2005年9月28日,2005年9月28日,-人,"16,214人",44.4歳,"11,160千円"
武田薬品工業(株)【4502】,1925年1月29日,1949年5月,"4,966人","47,099人",42.0歳,"10,760千円"
ファナック(株)【6954】,1972年5月12日,1976年11月,"4,105人","8,256人",40.2歳,"10,980千円"
(株)セブン＆アイ・ホールディングス【3382】,2005年9月1日,2005年9月1日,857人,"72,954人",43.9歳,"7,420千円"
三井物産(株)【8031】,1947年7月25日,1949年5月,"5,587人","44,509人",42.1歳,"14,820千円"
東京海上ホールディングス(株)【8766】,2002年4月2日,2002年4月1日,"17,176人","43,257人",41.9歳,"7,720千円"
ＪＴ【2914】,1985年4月1日,1994年10月27日,"7,366人","58,300人",43.2歳,"8,290千円"
富士通(株)【6702】,1935年6月20日,1949年5月,"32,026人","126,371人",43.8歳,"8,650千円"
(株)みずほフィナンシャルグループ【8411】,2003年1月8日,2003年3月12日,"27,659人","54,492人",38.1歳,"7,290千円"
テルモ(株)【4543】,1921年9月17日,1982年6月21日,"5,448人","26,846人",40.5歳,"7,440千円"
(株)ゆうちょ銀行【7182】,2006年9月1日,2015年11月4日,"12,484人","12,535人",43.8歳,"6,740千円"
(株)ブリヂストン【5108】,1931年3月1日,1961年10月,"14,858人","138,036人",40.4歳,"6,850千円"
富士フイルムホールディングス(株)【4901】,1934年1月20日,1949年5月,825人,"75,879人",45.5歳,"9,700千円"
(株)ＮＴＴデータ【9613】,1988年5月23日,1995年4月26日,-人,"142,750人",38.9歳,"8,410千円"
日本郵政(株)【6178】,2006年1月23日,2015年11月4日,"2,122人","246,688人",44.3歳,"7,880千円"
アステラス製薬(株)【4503】,1939年3月20日,1949年5月,"4,647人","15,455人",43.0歳,"10,510千円"
オリンパス(株)【7733】,1919年10月12日,1949年5月16日,"4,358人","31,986人",42.8歳,"8,690千円"
三菱電機(株)【6503】,1921年1月15日,1949年5月,"36,162人","145,653人",40.7歳,"7,960千円"
東海旅客鉄道(株)【9022】,1987年4月1日,1997年10月8日,"19,272人","31,337人",36.5歳,"7,130千円"
(株)クボタ【6326】,1930年12月22日,1949年5月,"11,686人","42,710人",40.7歳,"7,990千円"
シスメックス(株)【6869】,1968年2月20日,1995年11月15日,"2,235人","8,568人",41.4歳,"7,390千円"
日本ペイントホールディングス(株)【4612】,1898年3月,1949年5月,342人,"27,318人",42.7歳,"8,320千円"
(株)シマノ【7309】,1940年1月29日,1972年11月,"1,442人","12,244人",39.9歳,"7,870千円"
(株)野村総合研究所【4307】,1966年1月5日,2001年12月17日,-人,"15,395人",40.5歳,"12,250千円"
花王(株)【4452】,1940年5月21日,1949年5月,"8,643人","33,482人",40.5歳,"8,230千円"
パナソニック(株)【6752】,1935年12月15日,1949年5月,-人,"240,202人",45.8歳,"7,430千円"
ユニ・チャーム(株)【8113】,1961年2月10日,1976年8月,"1,466人","16,665人",41.4歳,"8,390千円"
(株)豊田自動織機【6201】,1926年11月18日,1949年5月,"14,406人","68,311人",41.0歳,"7,690千円"
ルネサスエレクトロニクス(株)【6723】,2002年11月1日,2003年7月24日,"6,205人","18,612人",46.9歳,"7,910千円"
レーザーテック(株)【6920】,1962年8月13日,1990年12月25日,328人,529人,‐歳,-千円
キヤノン(株)【7751】,1937年8月10日,1949年5月,-人,"178,809人",44.4歳,"7,440千円"
(株)資生堂【4911】,1927年6月24日,1949年5月,"4,309人","39,035人",38.8歳,"6,580千円"
オリックス(株)【8591】,1964年4月17日,1970年4月,-人,"33,344人",43.2歳,"8,580千円"
東日本旅客鉄道(株)【9020】,1987年4月1日,1993年10月26日,"45,047人","74,198人",38.2歳,"6,730千円"
コマツ【6301】,1921年5月13日,1949年5月,"11,795人","61,564人",39.8歳,"7,180千円"
京セラ(株)【6971】,1959年4月1日,1971年10月,"19,858人","80,308人",41.1歳,"6,840千円"
第一生命ホールディングス(株)【8750】,2010年4月1日,2010年4月1日,"11,235人","64,674人",45.9歳,"6,210千円"
イオン(株)【8267】,1926年9月21日,1974年9月,455人,"155,578人",49.9歳,"8,290千円"
塩野義製薬(株)【4507】,1919年6月5日,1949年5月,"2,589人","5,485人",41.2歳,"9,020千円"
オムロン(株)【6645】,1948年5月19日,1962年4月,"4,829人","28,254人",45.0歳,"8,030千円"
大塚ホールディングス(株)【4578】,2008年7月8日,2010年12月15日,111人,"33,151人",44.1歳,"9,910千円"
